transaction_date,transaction_type,ticker,shares,price,fee,account,note
2026-05-28,BUY,GPIQ,3,59.07,0,Fidelity,TIRA-BK
2026-05-28,BUY,IQQQ,3,50.86,0,Fidelity,TIRA-BK
2026-05-28,BUY,JEPI,1,56.24,0,Fidelity,TIRA-BK
2026-05-28,BUY,JEPI,2,56.23,0,Fidelity,TIRA-BK
2026-05-28,BUY,QQQI,3,56.98,0,Fidelity,TIRA-BK
2026-05-28,BUY,QQQT,10,19.2,0,Fidelity,TIRA-BK
2026-05-28,BUY,QYLD,10,18.03,0,Fidelity,TIRA-BK
2026-05-28,BUY,SPHD,3,50.22,0,Fidelity,TIRA-BK
2026-05-28,BUY,TQQQ,1,82.26,0,Fidelity,TIRA-BK
